task_id,project_id,assigned_employee,task_name,start_date,end_date,task_status,completion_percentage
TASK005848,PROJ00591,EMP0232,Site Visit,21-08-2024,28-06-2025,In Progress,9
TASK005849,PROJ01061,EMP0075,Handover,21-10-2024,20-08-2025,Pending,11
TASK005850,PROJ01257,EMP0110,Design Approval,06-05-2024,09-05-2025,In Progress,71
TASK005851,PROJ03803,EMP0222,Handover,14-05-2024,25-02-2025,Completed,64
TASK005852,PROJ02338,EMP0147,Design Approval,13-01-2024,05-05-2025,In Progress,24
TASK005853,PROJ01685,EMP0284,Material Procurement,21-12-2024,28-05-2025,In Progress,6
TASK005854,PROJ03809,EMP0013,Site Visit,04-12-2024,26-04-2025,In Progress,96
TASK005855,PROJ01901,EMP0173,Handover,13-07-2024,17-03-2025,In Progress,6
TASK005856,PROJ01601,EMP0253,Design Approval,04-10-2024,,Pending,50
TASK005857,PROJ02024,EMP0251,Material Procurement,05-04-2024,15-03-2025,Delayed,85
TASK005858,PROJ04676,EMP0086,Design Approval,10-07-2024,20-12-2025,completed,99
TASK005859,PROJ01014,EMP0173,Installation,27-12-2024,04-05-2025,completed,9
TASK005860,PROJ03137,EMP0223,Handover,19-06-2024,,completed,39
TASK005861,PROJ03986,EMP0024,Material Procurement,17-06-2024,,Delayed,6
TASK005862,PROJ02700,EMP0252,Material Procurement,21-03-2024,,Completed,26
TASK005863,PROJ02419,EMP0032,Design Approval,03-12-2024,,Pending,79
TASK005864,PROJ03893,EMP0128,Design Approval,16-06-2024,,Delayed,99
TASK005865,PROJ00828,EMP0154,Quality Check,05-05-2024,,completed,29
TASK005866,PROJ02611,EMP0136,Design Approval,25-12-2024,,Delayed,74
TASK005867,PROJ04963,EMP0244,Design Approval,26-02-2024,27-03-2025,In Progress,43
TASK005868,PROJ00569,EMP0189,Installation,28-10-2024,20-03-2025,In Progress,92
TASK005869,PROJ03473,EMP0069,Material Procurement,16-10-2024,26-09-2025,Completed,35
TASK005870,PROJ00565,EMP0079,Installation,09-11-2024,16-09-2025,Completed,60
TASK005871,PROJ03345,EMP0259,Handover,01-11-2024,,completed,80
TASK005872,PROJ02640,EMP0296,Handover,22-02-2024,21-08-2025,In Progress,70
TASK005873,PROJ02550,EMP0103,Quality Check,12-12-2024,,Delayed,86
TASK005874,PROJ00341,EMP0298,Design Approval,02-05-2024,05-10-2025,Completed,29
TASK005875,PROJ01910,EMP0230,Material Procurement,15-02-2024,02-01-2025,In Progress,37
TASK005876,PROJ00239,EMP0102,Installation,10-04-2024,26-09-2025,completed,26
TASK005877,PROJ04463,EMP0262,Design Approval,14-01-2024,12-07-2025,completed,38
TASK005878,PROJ01991,EMP0198,Site Visit,10-12-2024,25-02-2025,In Progress,61
TASK005879,PROJ04959,EMP0159,Site Visit,12-12-2024,08-09-2025,Pending,25
TASK005880,PROJ04170,EMP0073,Site Visit,17-08-2024,07-06-2025,Completed,11
TASK005881,PROJ00796,EMP0167,Handover,24-11-2024,13-07-2025,Pending,52
TASK005882,PROJ04657,EMP0095,Design Approval,12-01-2024,02-11-2025,Delayed,32
TASK005883,PROJ04069,EMP0031,Quality Check,24-12-2024,24-12-2025,Completed,83
TASK005884,PROJ02689,EMP0213,Installation,14-01-2024,14-12-2025,Completed,20
TASK005885,PROJ02946,EMP0190,Installation,09-11-2024,07-12-2025,completed,78
TASK005886,PROJ04166,EMP0149,Design Approval,15-07-2024,09-10-2025,Delayed,5
TASK005887,PROJ00483,EMP0292,Material Procurement,04-05-2024,10-01-2025,Pending,26
TASK005888,PROJ03042,EMP0009,Installation,02-03-2024,19-08-2025,completed,56
TASK005889,PROJ03435,EMP0122,Handover,07-09-2024,,completed,32
TASK005890,PROJ02063,EMP0136,Handover,22-02-2024,,Pending,23
TASK005891,PROJ00884,EMP0059,Design Approval,03-11-2024,,completed,5
TASK005892,PROJ02914,EMP0187,Installation,26-04-2024,10-12-2025,Delayed,10
TASK005893,PROJ02071,EMP0131,Design Approval,11-01-2024,26-01-2025,In Progress,45
TASK005894,PROJ04744,EMP0265,Site Visit,11-06-2024,17-04-2025,In Progress,46
TASK005895,PROJ01672,EMP0288,Installation,18-09-2024,12-11-2025,completed,57
TASK005896,PROJ03518,EMP0059,Quality Check,01-07-2024,26-08-2025,In Progress,55
TASK005897,PROJ03951,EMP0210,Site Visit,23-05-2024,02-10-2025,completed,27
TASK005898,PROJ01398,EMP0012,Installation,24-12-2024,02-02-2025,Delayed,42
TASK005899,PROJ03502,EMP0203,Design Approval,21-12-2024,16-03-2025,Pending,81
TASK005900,PROJ02840,EMP0205,Material Procurement,09-08-2024,25-11-2025,completed,83
TASK005901,PROJ03907,EMP0237,Material Procurement,27-04-2024,,Completed,21
TASK005902,PROJ04289,EMP0074,Installation,13-09-2024,11-08-2025,Delayed,21
TASK005903,PROJ00287,EMP0297,Installation,28-01-2024,09-03-2025,Delayed,58
TASK005904,PROJ01415,EMP0048,Installation,17-11-2024,26-08-2025,Completed,34
TASK005905,PROJ00639,EMP0297,Site Visit,07-08-2024,18-01-2025,Delayed,99
TASK005906,PROJ03158,EMP0240,Material Procurement,05-12-2024,01-03-2025,Completed,19
TASK005907,PROJ02737,EMP0056,Site Visit,20-07-2024,01-09-2025,In Progress,39
TASK005908,PROJ03899,EMP0112,Material Procurement,09-04-2024,17-10-2025,Completed,15
TASK005909,PROJ04661,EMP0044,Installation,13-06-2024,05-06-2025,Delayed,84
TASK005910,PROJ03124,EMP0224,Installation,06-04-2024,14-11-2025,Completed,29
TASK005911,PROJ01468,EMP0288,Quality Check,11-06-2024,08-07-2025,Delayed,55
TASK005912,PROJ04876,EMP0292,Installation,27-04-2024,20-06-2025,Delayed,46
TASK005913,PROJ04991,EMP0280,Handover,26-09-2024,23-09-2025,completed,30
TASK005914,PROJ00570,EMP0146,Site Visit,07-06-2024,,Pending,34
TASK005915,PROJ01117,EMP0293,Material Procurement,24-05-2024,20-07-2025,In Progress,49
TASK005916,PROJ00451,EMP0086,Material Procurement,22-12-2024,25-02-2025,completed,76
TASK005917,PROJ04668,EMP0147,Material Procurement,09-07-2024,28-12-2025,Delayed,75
TASK005918,PROJ00506,EMP0048,Site Visit,28-04-2024,13-01-2025,completed,66
TASK005919,PROJ03605,EMP0221,Installation,03-06-2024,08-07-2025,Completed,53
TASK005920,PROJ02264,EMP0181,Handover,25-12-2024,,Completed,31
TASK005921,PROJ04281,EMP0072,Installation,16-05-2024,28-03-2025,completed,59
TASK005922,PROJ02223,EMP0138,Material Procurement,04-09-2024,06-06-2025,completed,95
TASK005923,PROJ01357,EMP0064,Site Visit,07-06-2024,15-02-2025,Pending,14
TASK005924,PROJ01237,EMP0193,Site Visit,02-02-2024,13-06-2025,Completed,2
TASK005925,PROJ02345,EMP0148,Installation,24-11-2024,17-04-2025,Pending,24
TASK005926,PROJ03111,EMP0049,Installation,05-03-2024,28-01-2025,In Progress,7
TASK005927,PROJ00442,EMP0071,Material Procurement,12-11-2024,,completed,9
TASK005928,PROJ03240,EMP0081,Design Approval,12-03-2024,27-05-2025,Pending,78
TASK005929,PROJ00979,EMP0090,Quality Check,22-10-2024,23-07-2025,In Progress,22
TASK005930,PROJ01790,EMP0071,Site Visit,21-10-2024,,Delayed,57
TASK005931,PROJ03433,EMP0047,Design Approval,10-12-2024,18-03-2025,Pending,57
TASK005932,PROJ03347,EMP0049,Material Procurement,12-08-2024,08-12-2025,In Progress,86
TASK005933,PROJ02641,EMP0061,Material Procurement,14-02-2024,07-10-2025,Delayed,89
TASK005934,PROJ03528,EMP0126,Handover,14-05-2024,21-03-2025,Completed,29
TASK005935,PROJ02415,EMP0076,Site Visit,06-01-2024,06-07-2025,In Progress,95
TASK005936,PROJ00134,EMP0082,Handover,25-05-2024,04-12-2025,Delayed,88
TASK005937,PROJ01796,EMP0246,Handover,18-11-2024,11-02-2025,Delayed,45
TASK005938,PROJ01301,EMP0291,Site Visit,19-06-2024,,Completed,42
TASK005939,PROJ03464,EMP0212,Material Procurement,28-07-2024,20-06-2025,completed,39
TASK005940,PROJ02379,EMP0081,Site Visit,14-02-2024,17-09-2025,Pending,80
TASK005941,PROJ04168,EMP0055,Design Approval,01-02-2024,,In Progress,60
TASK005942,PROJ00173,EMP0219,Quality Check,03-09-2024,07-12-2025,Completed,31
TASK005943,PROJ04307,EMP0173,Installation,26-06-2024,27-02-2025,completed,28
TASK005944,PROJ01229,EMP0153,Site Visit,22-01-2024,,Completed,6
TASK005945,PROJ02245,EMP0122,Material Procurement,21-10-2024,14-05-2025,Pending,35
TASK005946,PROJ02267,EMP0185,Handover,26-06-2024,07-03-2025,In Progress,6
TASK005947,PROJ00999,EMP0254,Installation,02-02-2024,21-06-2025,Pending,36
TASK005948,PROJ01179,EMP0126,Handover,16-04-2024,10-12-2025,completed,83
TASK005949,PROJ01245,EMP0053,Site Visit,21-11-2024,,Pending,42
TASK005950,PROJ03499,EMP0269,Installation,25-10-2024,09-08-2025,Completed,84
TASK005951,PROJ03141,EMP0116,Material Procurement,02-02-2024,13-06-2025,Completed,78
TASK005952,PROJ03033,EMP0285,Design Approval,25-08-2024,15-12-2025,Delayed,13
TASK005953,PROJ03932,EMP0132,Handover,05-12-2024,18-06-2025,Pending,23
TASK005954,PROJ00708,EMP0247,Site Visit,09-03-2024,21-08-2025,Completed,35
TASK005955,PROJ02747,EMP0216,Material Procurement,19-09-2024,26-09-2025,Completed,94
TASK005956,PROJ04935,EMP0126,Site Visit,13-09-2024,13-04-2025,In Progress,48
TASK005957,PROJ04372,EMP0271,Quality Check,19-08-2024,08-11-2025,Completed,27
TASK005958,PROJ03067,EMP0110,Quality Check,08-09-2024,18-03-2025,completed,89
TASK005959,PROJ00127,EMP0264,Quality Check,14-11-2024,20-04-2025,Delayed,54
TASK005960,PROJ00228,EMP0185,Material Procurement,22-01-2024,21-05-2025,Completed,79
TASK005961,PROJ01024,EMP0120,Installation,28-02-2024,26-04-2025,completed,52
TASK005962,PROJ02565,EMP0014,Handover,03-10-2024,07-06-2025,Pending,7
TASK005963,PROJ02048,EMP0200,Material Procurement,26-05-2024,,Delayed,15
TASK005964,PROJ02168,EMP0040,Design Approval,05-06-2024,09-11-2025,completed,40
TASK005965,PROJ02391,EMP0173,Installation,15-08-2024,06-08-2025,Completed,14
TASK005966,PROJ00880,EMP0300,Handover,25-03-2024,20-12-2025,completed,25
TASK005967,PROJ04291,EMP0293,Quality Check,14-05-2024,14-01-2025,Completed,1
TASK005968,PROJ03747,EMP0182,Design Approval,01-02-2024,08-04-2025,Delayed,19
TASK005969,PROJ04035,EMP0154,Site Visit,02-04-2024,19-12-2025,Pending,33
TASK005970,PROJ04067,EMP0260,Quality Check,10-06-2024,12-08-2025,In Progress,27
TASK005971,PROJ02615,EMP0051,Quality Check,15-07-2024,11-04-2025,Pending,56
TASK005972,PROJ02839,EMP0241,Site Visit,15-07-2024,04-04-2025,completed,94
TASK005973,PROJ04703,EMP0054,Installation,08-07-2024,,Delayed,46
TASK005974,PROJ01889,EMP0055,Installation,10-03-2024,16-06-2025,In Progress,9
TASK005975,PROJ02616,EMP0191,Quality Check,11-03-2024,27-06-2025,Delayed,60
TASK005976,PROJ01124,EMP0033,Installation,11-02-2024,24-02-2025,Pending,33
TASK005977,PROJ00774,EMP0077,Installation,01-11-2024,24-11-2025,Delayed,71
TASK005978,PROJ03517,EMP0136,Site Visit,01-01-2024,09-02-2025,completed,76
TASK005979,PROJ03587,EMP0020,Quality Check,15-06-2024,,completed,66
TASK005980,PROJ00842,EMP0200,Quality Check,20-02-2024,19-12-2025,Completed,85
TASK005981,PROJ04661,EMP0077,Installation,27-08-2024,04-05-2025,Pending,53
TASK005982,PROJ01958,EMP0265,Site Visit,17-02-2024,,Delayed,28
TASK005983,PROJ01157,EMP0012,Handover,08-09-2024,23-07-2025,Pending,57
TASK005984,PROJ04662,EMP0239,Design Approval,15-12-2024,,Pending,68
TASK005985,PROJ04825,EMP0004,Design Approval,06-09-2024,12-01-2025,In Progress,87
TASK005986,PROJ01321,EMP0021,Site Visit,09-10-2024,,completed,52
TASK005987,PROJ03571,EMP0114,Quality Check,13-03-2024,20-07-2025,Completed,59
TASK005988,PROJ03968,EMP0071,Handover,15-06-2024,15-02-2025,In Progress,17
TASK005989,PROJ03840,EMP0246,Installation,03-02-2024,24-03-2025,Pending,26
TASK005990,PROJ00586,EMP0246,Design Approval,18-07-2024,26-12-2025,Pending,56
TASK005991,PROJ03741,EMP0300,Material Procurement,18-06-2024,14-10-2025,completed,10
TASK005992,PROJ01280,EMP0173,Handover,04-03-2024,21-11-2025,Pending,55
TASK005993,PROJ02727,EMP0004,Site Visit,04-04-2024,20-12-2025,completed,38
TASK005994,PROJ04710,EMP0260,Site Visit,17-11-2024,,Completed,63
TASK005995,PROJ02573,EMP0169,Material Procurement,15-10-2024,18-11-2025,Pending,38
TASK005996,PROJ02747,EMP0277,Handover,10-11-2024,15-05-2025,completed,47
TASK005997,PROJ03664,EMP0178,Installation,14-08-2024,08-08-2025,completed,91
TASK005998,PROJ02206,EMP0246,Handover,16-07-2024,28-03-2025,Delayed,74
TASK005999,PROJ03357,EMP0300,Handover,17-05-2024,08-12-2025,Pending,50
TASK006000,PROJ01999,EMP0160,Installation,25-07-2024,,completed,88
TASK006001,PROJ03942,EMP0231,Design Approval,10-04-2024,,Delayed,43
TASK006002,PROJ03323,EMP0234,Material Procurement,01-08-2024,17-02-2025,completed,53
TASK006003,PROJ02517,EMP0197,Material Procurement,06-02-2024,03-11-2025,In Progress,64
TASK006004,PROJ01325,EMP0022,Installation,27-07-2024,26-03-2025,Delayed,89
TASK006005,PROJ03535,EMP0162,Site Visit,10-02-2024,05-03-2025,completed,26
TASK006006,PROJ03285,EMP0125,Quality Check,10-12-2024,12-05-2025,Pending,20
TASK006007,PROJ02701,EMP0107,Handover,13-10-2024,09-03-2025,Delayed,63
TASK006008,PROJ04129,EMP0022,Site Visit,24-03-2024,21-10-2025,completed,53
TASK006009,PROJ02299,EMP0191,Installation,19-05-2024,24-10-2025,In Progress,30
TASK006010,PROJ02987,EMP0158,Material Procurement,04-05-2024,06-01-2025,Completed,35
TASK006011,PROJ02810,EMP0207,Design Approval,15-09-2024,08-10-2025,Pending,18
TASK006012,PROJ04307,EMP0083,Site Visit,24-11-2024,27-10-2025,Delayed,47
TASK006013,PROJ04304,EMP0258,Quality Check,05-11-2024,01-05-2025,Delayed,31
TASK006014,PROJ02038,EMP0179,Design Approval,04-02-2024,20-12-2025,completed,14
TASK006015,PROJ01957,EMP0203,Material Procurement,28-04-2024,12-02-2025,Delayed,27
TASK006016,PROJ04884,EMP0118,Site Visit,10-05-2024,22-04-2025,Completed,87
TASK006017,PROJ02465,EMP0048,Design Approval,02-06-2024,,completed,63
TASK006018,PROJ02630,EMP0124,Handover,21-04-2024,03-08-2025,Delayed,33
TASK006019,PROJ01400,EMP0161,Material Procurement,15-12-2024,10-11-2025,Delayed,14
TASK006020,PROJ04464,EMP0029,Design Approval,22-06-2024,27-06-2025,Delayed,42
TASK006021,PROJ01437,EMP0171,Quality Check,23-06-2024,,completed,40
TASK006022,PROJ03264,EMP0045,Installation,09-12-2024,04-11-2025,Completed,12
TASK006023,PROJ01942,EMP0172,Design Approval,20-06-2024,27-03-2025,Completed,83
TASK006024,PROJ00337,EMP0136,Quality Check,09-04-2024,04-03-2025,Pending,71
TASK006025,PROJ01047,EMP0294,Design Approval,04-02-2024,20-07-2025,Completed,40
TASK006026,PROJ00048,EMP0001,Design Approval,08-04-2024,,completed,46
TASK006027,PROJ03107,EMP0066,Material Procurement,05-10-2024,10-01-2025,completed,22
TASK006028,PROJ04365,EMP0101,Quality Check,09-04-2024,25-02-2025,Delayed,46
TASK006029,PROJ01053,EMP0197,Handover,15-09-2024,04-07-2025,Delayed,5
TASK006030,PROJ01142,EMP0282,Material Procurement,18-10-2024,06-08-2025,completed,90
TASK006031,PROJ00333,EMP0163,Site Visit,23-10-2024,23-04-2025,Delayed,11
TASK006032,PROJ03806,EMP0204,Installation,03-12-2024,08-04-2025,Pending,45
TASK006033,PROJ04944,EMP0016,Handover,13-06-2024,,Completed,100
TASK006034,PROJ00946,EMP0221,Installation,16-09-2024,04-03-2025,Pending,9
TASK006035,PROJ00562,EMP0220,Handover,17-05-2024,15-10-2025,In Progress,36
TASK006036,PROJ04933,EMP0167,Installation,17-03-2024,15-01-2025,Delayed,18
TASK006037,PROJ03196,EMP0187,Material Procurement,25-04-2024,14-05-2025,Completed,23
TASK006038,PROJ04541,EMP0111,Installation,09-02-2024,26-08-2025,Delayed,28
TASK006039,PROJ01138,EMP0223,Quality Check,15-05-2024,18-04-2025,Pending,75
TASK006040,PROJ02810,EMP0185,Design Approval,15-04-2024,,In Progress,50
TASK006041,PROJ01063,EMP0247,Site Visit,12-09-2024,27-06-2025,In Progress,28
TASK006042,PROJ01059,EMP0030,Quality Check,07-04-2024,12-05-2025,completed,24
TASK006043,PROJ00117,EMP0077,Installation,22-02-2024,,Pending,78
TASK006044,PROJ03611,EMP0010,Site Visit,06-11-2024,01-09-2025,Delayed,43
TASK006045,PROJ04878,EMP0117,Handover,28-03-2024,15-08-2025,completed,71
TASK006046,PROJ02000,EMP0276,Material Procurement,20-04-2024,14-11-2025,Pending,93
TASK006047,PROJ02214,EMP0160,Quality Check,20-02-2024,10-12-2025,Pending,49
TASK006048,PROJ00657,EMP0026,Design Approval,24-05-2024,,completed,86
TASK006049,PROJ03079,EMP0059,Quality Check,19-08-2024,,Pending,31
TASK006050,PROJ01441,EMP0175,Handover,22-03-2024,07-12-2025,In Progress,32
TASK006051,PROJ00081,EMP0264,Quality Check,02-10-2024,13-09-2025,completed,92
TASK006052,PROJ02930,EMP0181,Design Approval,24-03-2024,27-12-2025,Completed,20
TASK006053,PROJ02598,EMP0150,Handover,18-04-2024,21-06-2025,Completed,81
TASK006054,PROJ01061,EMP0091,Material Procurement,05-07-2024,14-12-2025,Delayed,82
TASK006055,PROJ04276,EMP0049,Quality Check,10-12-2024,27-06-2025,Delayed,22
TASK006056,PROJ03537,EMP0016,Material Procurement,24-10-2024,,Pending,5
TASK006057,PROJ04015,EMP0230,Material Procurement,19-05-2024,28-07-2025,completed,16
TASK006058,PROJ00273,EMP0197,Handover,12-12-2024,24-02-2025,completed,3
TASK006059,PROJ00963,EMP0275,Design Approval,08-12-2024,,Completed,30
TASK006060,PROJ02134,EMP0100,Quality Check,20-04-2024,20-07-2025,Pending,41
TASK006061,PROJ04848,EMP0119,Installation,02-05-2024,18-06-2025,Delayed,83
TASK006062,PROJ01023,EMP0191,Material Procurement,26-04-2024,05-04-2025,In Progress,98
TASK006063,PROJ01092,EMP0025,Handover,14-08-2024,12-10-2025,Pending,92
TASK006064,PROJ00698,EMP0295,Site Visit,24-03-2024,28-04-2025,Completed,69
TASK006065,PROJ00579,EMP0059,Site Visit,13-01-2024,15-03-2025,In Progress,87
TASK006066,PROJ03478,EMP0070,Design Approval,18-05-2024,,Completed,16
TASK006067,PROJ00533,EMP0025,Quality Check,20-05-2024,02-11-2025,Delayed,52
TASK006068,PROJ03867,EMP0280,Site Visit,12-10-2024,07-10-2025,Pending,24
TASK006069,PROJ04240,EMP0125,Material Procurement,08-04-2024,22-09-2025,Pending,81
TASK006070,PROJ00654,EMP0222,Installation,11-07-2024,13-09-2025,completed,68
TASK006071,PROJ01737,EMP0113,Site Visit,06-06-2024,,In Progress,61
TASK006072,PROJ02467,EMP0136,Site Visit,14-01-2024,13-04-2025,In Progress,83
TASK006073,PROJ02792,EMP0069,Site Visit,04-06-2024,,Delayed,34
TASK006074,PROJ04225,EMP0268,Quality Check,25-10-2024,27-07-2025,Delayed,34
TASK006075,PROJ04824,EMP0158,Site Visit,22-09-2024,01-06-2025,Completed,60
TASK006076,PROJ03927,EMP0079,Installation,06-02-2024,13-09-2025,Pending,28
TASK006077,PROJ01110,EMP0211,Installation,27-06-2024,05-03-2025,Completed,55
TASK006078,PROJ03237,EMP0176,Site Visit,09-11-2024,,completed,76
TASK006079,PROJ04170,EMP0047,Quality Check,04-04-2024,,In Progress,69
TASK006080,PROJ02257,EMP0270,Design Approval,26-03-2024,07-08-2025,Completed,33
TASK006081,PROJ02611,EMP0127,Installation,11-04-2024,13-03-2025,Pending,50
TASK006082,PROJ02577,EMP0009,Installation,04-09-2024,27-11-2025,completed,21
TASK006083,PROJ01514,EMP0178,Quality Check,11-05-2024,28-10-2025,completed,76
TASK006084,PROJ03709,EMP0251,Installation,01-07-2024,27-07-2025,Pending,50
TASK006085,PROJ03351,EMP0019,Material Procurement,07-07-2024,,Delayed,12
TASK006086,PROJ03950,EMP0097,Handover,16-09-2024,12-07-2025,In Progress,77
TASK006087,PROJ02133,EMP0165,Material Procurement,05-05-2024,17-11-2025,Delayed,88
TASK006088,PROJ04639,EMP0183,Site Visit,08-07-2024,28-08-2025,In Progress,66
TASK006089,PROJ00165,EMP0241,Quality Check,19-06-2024,,Pending,11
TASK006090,PROJ02013,EMP0051,Material Procurement,23-07-2024,,Completed,89
TASK006091,PROJ04275,EMP0157,Handover,13-04-2024,22-12-2025,Completed,28
TASK006092,PROJ03148,EMP0009,Design Approval,06-10-2024,28-06-2025,Completed,99
TASK006093,PROJ04306,EMP0155,Material Procurement,20-02-2024,01-07-2025,Completed,12
TASK006094,PROJ02663,EMP0286,Quality Check,06-01-2024,02-01-2025,Delayed,42
TASK006095,PROJ02485,EMP0297,Handover,08-07-2024,05-08-2025,Completed,74
TASK006096,PROJ01211,EMP0258,Material Procurement,03-09-2024,16-07-2025,Pending,4
TASK006097,PROJ01531,EMP0232,Installation,16-06-2024,,Pending,53
TASK006098,PROJ00107,EMP0202,Installation,27-02-2024,03-10-2025,Pending,92
TASK006099,PROJ00329,EMP0035,Site Visit,07-02-2024,15-05-2025,Delayed,26
TASK006100,PROJ03040,EMP0209,Material Procurement,15-07-2024,06-04-2025,Pending,97
TASK006101,PROJ03846,EMP0229,Installation,13-04-2024,,Pending,70
TASK006102,PROJ01718,EMP0254,Handover,25-10-2024,03-09-2025,In Progress,45
TASK006103,PROJ00216,EMP0172,Installation,16-04-2024,13-01-2025,Pending,21
TASK006104,PROJ04532,EMP0241,Site Visit,11-01-2024,23-10-2025,Pending,10
TASK006105,PROJ04454,EMP0159,Site Visit,09-06-2024,,Pending,55
TASK006106,PROJ01734,EMP0241,Design Approval,19-11-2024,23-04-2025,Pending,99
TASK006107,PROJ02530,EMP0023,Material Procurement,03-10-2024,16-05-2025,Pending,1
TASK006108,PROJ04910,EMP0010,Design Approval,24-08-2024,04-07-2025,Completed,71
TASK006109,PROJ01532,EMP0233,Quality Check,07-02-2024,23-07-2025,Pending,95
TASK006110,PROJ01932,EMP0065,Site Visit,26-12-2024,28-04-2025,Delayed,46
TASK006111,PROJ04992,EMP0288,Installation,22-12-2024,,Delayed,54
TASK006112,PROJ01962,EMP0169,Site Visit,14-05-2024,09-02-2025,Completed,82
TASK006113,PROJ00166,EMP0273,Installation,09-03-2024,,In Progress,43
TASK006114,PROJ04762,EMP0079,Site Visit,27-11-2024,19-08-2025,Completed,16
TASK006115,PROJ03972,EMP0300,Design Approval,26-02-2024,26-11-2025,completed,81
TASK006116,PROJ04237,EMP0161,Handover,16-09-2024,08-10-2025,Delayed,84
TASK006117,PROJ02059,EMP0150,Installation,17-05-2024,07-08-2025,Delayed,14
TASK006118,PROJ02932,EMP0298,Quality Check,08-09-2024,,completed,82
TASK006119,PROJ04177,EMP0137,Material Procurement,05-01-2024,13-09-2025,Pending,19
TASK006120,PROJ03885,EMP0266,Material Procurement,14-02-2024,,Delayed,53
TASK006121,PROJ00961,EMP0259,Installation,13-06-2024,25-01-2025,In Progress,20
TASK006122,PROJ00102,EMP0047,Material Procurement,12-04-2024,04-03-2025,Pending,34
TASK006123,PROJ01073,EMP0176,Quality Check,07-01-2024,01-09-2025,In Progress,13
TASK006124,PROJ04824,EMP0101,Material Procurement,19-02-2024,06-10-2025,In Progress,100
TASK006125,PROJ00310,EMP0299,Material Procurement,10-08-2024,,completed,30
TASK006126,PROJ01141,EMP0028,Site Visit,04-01-2024,,Pending,23
TASK006127,PROJ02131,EMP0168,Quality Check,24-04-2024,24-03-2025,Completed,4
TASK006128,PROJ02103,EMP0204,Design Approval,07-01-2024,,Delayed,77
TASK006129,PROJ00993,EMP0088,Site Visit,24-01-2024,04-08-2025,Delayed,46
TASK006130,PROJ03523,EMP0015,Material Procurement,21-01-2024,,Delayed,57
TASK006131,PROJ01136,EMP0088,Handover,05-11-2024,11-04-2025,Pending,63
TASK006132,PROJ02210,EMP0277,Material Procurement,11-10-2024,18-05-2025,Pending,29
TASK006133,PROJ03608,EMP0221,Handover,24-10-2024,,Pending,98
TASK006134,PROJ02490,EMP0038,Handover,18-10-2024,23-05-2025,Pending,60
TASK006135,PROJ01535,EMP0120,Quality Check,02-03-2024,27-01-2025,Completed,58
TASK006136,PROJ01934,EMP0100,Installation,12-08-2024,23-12-2025,Pending,34
TASK006137,PROJ03247,EMP0162,Design Approval,05-01-2024,21-03-2025,Pending,83
TASK006138,PROJ01627,EMP0174,Installation,06-07-2024,17-06-2025,In Progress,76
TASK006139,PROJ02068,EMP0191,Material Procurement,15-04-2024,,completed,10
TASK006140,PROJ03549,EMP0285,Handover,11-04-2024,10-05-2025,In Progress,70
TASK006141,PROJ04334,EMP0237,Installation,04-11-2024,07-06-2025,Pending,82
TASK006142,PROJ02797,EMP0218,Installation,24-04-2024,,In Progress,95
TASK006143,PROJ01537,EMP0143,Quality Check,02-01-2024,17-10-2025,completed,77
TASK006144,PROJ00627,EMP0067,Site Visit,09-12-2024,22-07-2025,In Progress,75
TASK006145,PROJ04555,EMP0162,Design Approval,16-06-2024,09-08-2025,Delayed,52
TASK006146,PROJ02222,EMP0265,Handover,24-05-2024,,completed,58
TASK006147,PROJ00792,EMP0222,Site Visit,20-10-2024,,Completed,45
TASK006148,PROJ03606,EMP0020,Installation,21-09-2024,07-12-2025,completed,56
TASK006149,PROJ01864,EMP0045,Design Approval,01-12-2024,23-08-2025,In Progress,23
TASK006150,PROJ01206,EMP0147,Handover,24-01-2024,11-05-2025,completed,26
TASK006151,PROJ04154,EMP0002,Installation,21-12-2024,,Delayed,15
TASK006152,PROJ04308,EMP0069,Design Approval,28-07-2024,09-09-2025,completed,18
TASK006153,PROJ03592,EMP0193,Quality Check,08-10-2024,08-11-2025,completed,41
TASK006154,PROJ01963,EMP0265,Site Visit,26-12-2024,14-06-2025,Delayed,92
TASK006155,PROJ01395,EMP0025,Material Procurement,03-05-2024,20-09-2025,Completed,9
TASK006156,PROJ00980,EMP0042,Installation,16-06-2024,03-05-2025,completed,95
TASK006157,PROJ04494,EMP0133,Installation,10-08-2024,01-11-2025,Delayed,22
TASK006158,PROJ00666,EMP0262,Material Procurement,28-08-2024,20-06-2025,In Progress,3
TASK006159,PROJ00219,EMP0140,Quality Check,01-02-2024,08-03-2025,completed,15
TASK006160,PROJ04290,EMP0005,Site Visit,02-03-2024,17-10-2025,In Progress,70
TASK006161,PROJ02395,EMP0221,Handover,16-05-2024,04-01-2025,Completed,32
TASK006162,PROJ00257,EMP0282,Site Visit,23-11-2024,03-04-2025,completed,91
TASK006163,PROJ03967,EMP0074,Installation,23-04-2024,16-03-2025,Completed,72
TASK006164,PROJ00839,EMP0073,Handover,14-01-2024,,In Progress,87
TASK006165,PROJ01581,EMP0251,Design Approval,01-05-2024,20-06-2025,Delayed,88
TASK006166,PROJ00922,EMP0081,Material Procurement,26-02-2024,08-09-2025,Delayed,59
TASK006167,PROJ00582,EMP0289,Site Visit,12-08-2024,,completed,10
TASK006168,PROJ02920,EMP0062,Installation,10-03-2024,04-06-2025,Completed,35
