project_id,customer_id,designer_id,city_id,project_type,start_date,completion_date,project_status,project_budget
PROJ01020,CUS003274,DES023,C159,Kitchen,24/08/2024,2025-01-04,completed,1703437
PROJ01021,CUS003411,DES040,C032,3BHK,2024-12-05,2025-04-11,completed,741405
PROJ01022,CUS004622,DES128,C164,Kitchen,2024-03-03,2025-07-13,completed,2470221
PROJ01023,CUS004561,DES013,C245,Kitchen,2024-01-08,2025-02-22,completed,2921018
PROJ01024,CUS004895,DES012,C069,Villa,2024-06-19,2025-09-17,Delayed,2220908
PROJ01025,CUS003450,DES072,C101,Villa,2024-06-22,2025-03-02,Installation,2950863
PROJ01026,CUS001015,DES086,C231,Office,2024-03-14,2025-11-03,Delayed,506814
PROJ01027,CUS002219,DES085,C155,Villa,2024-11-17,2025-12-05,Design Phase,2915303
PROJ01028,CUS004821,DES006,C007,Villa,2024-12-27,2025-07-21,Completed,1546173
PROJ01029,CUS000145,DES045,C184,Kitchen,2024-05-21,2025-01-25,Delayed,1562891
PROJ01030,CUS004853,DES103,C114,Office,2024-11-03,2025-11-25,Completed,4541546
PROJ01031,CUS004447,DES118,C039,2BHK,2024-12-09,2025-03-17,completed,2690232
PROJ01032,CUS004663,DES095,C049,Office,2024-02-17,2025-08-12,Design Phase,2027838
PROJ01033,CUS004646,DES142,C087,2BHK,2024-09-02,2025-01-27,Design Phase,3661806
PROJ01034,CUS002247,DES018,C085,Villa,2024-10-09,2025-09-24,Delayed,1859464
PROJ01035,CUS004512,DES106,C177,2BHK,2024-04-16,2025-06-01,Design Phase,3151365
PROJ01036,CUS004738,DES047,C201,2BHK,2024-10-17,2025-06-12,Planning,4775671
PROJ01037,CUS003506,DES101,C067,3BHK,2024-12-11,2025-03-23,Planning,3978956
PROJ01038,CUS001857,DES009,C027,Kitchen,2024-05-19,2025-09-08,Design Phase,4885951
PROJ01039,CUS000286,DES146,C122,3BHK,2024-03-15,2025-12-17,Installation,4574809
PROJ01040,CUS000404,DES120,C036,Villa,2024-07-14,2025-12-13,Planning,3615128
PROJ01041,CUS004683,DES063,C014,2BHK,2024-11-26,,completed,4564854
PROJ01042,CUS002435,DES124,C240,2BHK,2024-04-17,,Installation,3894370
PROJ01043,CUS002292,DES009,C165,2BHK,2024-03-24,,Design Phase,2109783
PROJ01044,CUS004096,DES113,C191,Villa,2024-07-24,2025-08-20,Design Phase,676975
PROJ01045,CUS001305,DES117,C043,Office,2024-09-20,2025-07-14,Delayed,1487820
PROJ01046,CUS001599,DES101,C208,Kitchen,2024-11-24,2025-07-20,Design Phase,1900564
PROJ01047,CUS002184,DES001,C108,Office,2024-11-22,2025-08-09,Installation,2490134
PROJ01048,CUS001486,DES085,C210,Office,2024-06-25,2025-08-14,Completed,4630269
PROJ01049,CUS002348,DES003,C216,2BHK,2024-07-03,2025-04-04,Installation,3063851
PROJ01050,CUS003571,DES135,C090,Villa,15/10/2024,2025-04-05,Installation,1201836
PROJ01051,CUS003654,DES109,C165,Villa,2024-10-11,2025-08-08,Design Phase,3361222
PROJ01052,CUS001589,DES066,C132,Villa,2024-11-07,2025-11-21,Design Phase,2894527
PROJ01053,CUS004674,DES035,C193,2BHK,2024-08-25,2025-04-21,Planning,3975135
PROJ01054,CUS001563,DES024,C205,Kitchen,2024-06-01,2025-10-05,Installation,1853142
PROJ01055,CUS000654,DES010,C127,Villa,2024-03-26,2025-04-27,Planning,2882616
PROJ01056,CUS004552,DES056,C017,3BHK,2024-07-03,2025-02-10,Design Phase,4270623
PROJ01057,CUS000621,DES079,C038,Office,2024-03-01,2025-05-22,Delayed,389063
PROJ01058,CUS003537,DES079,C199,3BHK,2024-09-01,,Planning,4492721
PROJ01059,CUS003707,DES072,C173,3BHK,2024-12-24,2025-05-21,Planning,3880283
PROJ01060,CUS004160,DES109,C114,3BHK,2024-12-20,2025-04-15,Completed,2258376
PROJ01061,CUS003417,DES016,C155,Office,2024-09-26,2025-01-11,Planning,1577445
PROJ01062,CUS002725,DES096,C107,2BHK,2024-09-02,2025-04-20,Completed,3230343
PROJ01063,CUS001907,DES025,C228,Office,2024-01-28,,Planning,2207291
PROJ01064,CUS003432,DES077,C010,Office,2024-09-25,2025-04-17,Delayed,250409
PROJ01065,CUS002125,DES050,C142,Villa,2024-11-21,2025-05-25,Planning,3522717
PROJ01066,CUS002278,DES073,C230,Kitchen,2024-03-13,2025-12-09,Installation,4542541
PROJ01067,CUS002506,DES042,C085,Office,2024-12-25,2025-10-12,Installation,2196528
PROJ01068,CUS001398,DES010,C179,Office,2024-10-09,2025-06-01,completed,4459461
PROJ01069,CUS001638,DES017,C067,3BHK,2024-07-18,2025-12-20,Completed,2328247
PROJ01070,CUS000889,DES001,C142,3BHK,2024-10-14,2025-08-16,Planning,2582210
PROJ01071,CUS002882,DES059,C029,Kitchen,2024-12-05,2025-02-08,Design Phase,1926817
PROJ01072,CUS000359,DES033,C085,2BHK,2024-11-01,2025-02-14,Design Phase,1914119
PROJ01073,CUS001054,DES092,C007,Kitchen,2024-07-01,2025-06-06,Delayed,2197710
PROJ01074,CUS000202,DES136,C114,Office,2024-04-01,2025-04-14,Completed,3412118
PROJ01075,CUS002540,DES146,C080,3BHK,2024-12-11,2025-07-04,Delayed,2924567
PROJ01076,CUS004540,DES148,C151,3BHK,2024-03-28,2025-03-19,completed,4155907
PROJ01077,CUS002899,DES097,C227,Kitchen,2024-02-20,,Completed,2899290
PROJ01078,CUS003253,DES120,C035,Office,2024-06-08,2025-09-19,Completed,3295088
PROJ01079,CUS004509,DES135,C076,Office,2024-03-07,,Delayed,3873296
PROJ01080,CUS000124,DES100,C075,Office,25/08/2024,2025-08-04,completed,2820796
PROJ01081,CUS003283,DES132,C227,Villa,2024-12-16,2025-07-04,Installation,3451522
PROJ01082,CUS003584,DES057,C049,Kitchen,2024-12-05,2025-12-19,Completed,3162336
PROJ01083,CUS003293,DES139,C083,Villa,2024-12-01,2025-03-10,Completed,2779821
PROJ01084,CUS001232,DES063,C128,Kitchen,2024-09-25,,Planning,2470488
PROJ01085,CUS003498,DES049,C173,3BHK,2024-02-24,2025-05-06,Planning,3612123
PROJ01086,CUS004161,DES051,C207,Villa,2024-06-22,,Completed,624825
PROJ01087,CUS003119,DES114,C231,Office,2024-05-10,,completed,1247465
PROJ01088,CUS000647,DES066,C017,3BHK,2024-12-28,,Delayed,500686
PROJ01089,CUS000590,DES006,C136,Office,2024-11-06,2025-01-12,Installation,2290545
PROJ01090,CUS002162,DES098,C024,Kitchen,2024-06-10,,Delayed,1109862
PROJ01091,CUS002608,DES019,C073,Kitchen,2024-07-24,2025-02-05,Planning,3146243
PROJ01092,CUS004394,DES062,C136,2BHK,2024-10-08,2025-05-16,Design Phase,4528170
PROJ01093,CUS003233,DES113,C051,2BHK,2024-12-17,2025-04-20,Completed,3870067
PROJ01094,CUS001237,DES008,C105,3BHK,2024-01-07,2025-10-27,Design Phase,1616299
PROJ01095,CUS004325,DES112,C102,3BHK,2024-10-08,2025-01-17,completed,907699
PROJ01096,CUS002981,DES146,C142,Villa,2024-01-19,2025-05-08,Completed,1005251
PROJ01097,CUS004705,DES048,C097,Kitchen,2024-04-07,2025-02-12,Installation,1719497
PROJ01098,CUS004464,DES049,C060,2BHK,2024-10-08,2025-07-01,Completed,1099802
PROJ01099,CUS004467,DES086,C230,Kitchen,2024-08-11,2025-06-02,Completed,959730
PROJ01100,CUS002456,DES025,C002,Office,2024-03-17,2025-04-07,Completed,532711
PROJ01101,CUS002603,DES029,C206,3BHK,2024-09-06,2025-10-14,Installation,3544363
PROJ01102,CUS002163,DES129,C243,2BHK,2024-05-11,2025-01-08,completed,3185700
PROJ01103,CUS002398,DES083,C015,3BHK,2024-10-10,2025-11-22,Planning,240950
PROJ01104,CUS003003,DES082,C203,Office,2024-06-06,2025-09-26,Design Phase,707152
PROJ01105,CUS000420,DES052,C084,Villa,2024-01-17,2025-01-15,Installation,2702158
PROJ01106,CUS001142,DES011,C006,Kitchen,2024-11-27,2025-07-18,Installation,4549197
PROJ01107,CUS001887,DES137,C056,2BHK,2024-10-02,,completed,2975310
PROJ01108,CUS002201,DES098,C178,2BHK,2024-04-04,,Completed,3631327
PROJ01109,CUS002994,DES115,C143,Kitchen,2024-09-11,,Delayed,2384102
PROJ01110,CUS004861,DES057,C021,2BHK,27/06/2024,2025-12-25,Planning,4555985
PROJ01111,CUS002792,DES053,C057,2BHK,2024-12-09,2025-10-27,Installation,1405572
PROJ01112,CUS000492,DES065,C181,Office,2024-04-27,2025-08-27,Installation,532292
PROJ01113,CUS004778,DES096,C238,Villa,2024-07-21,2025-10-01,Completed,4038377
PROJ01114,CUS004807,DES041,C187,3BHK,2024-07-02,2025-10-11,Design Phase,1989942
PROJ01115,CUS004307,DES122,C049,3BHK,2024-08-01,2025-07-22,Completed,4745067
PROJ01116,CUS004183,DES111,C083,Office,2024-07-23,2025-07-07,completed,3315430
PROJ01117,CUS001403,DES118,C091,Kitchen,2024-07-06,2025-12-20,Installation,3468900
PROJ01118,CUS001642,DES111,C238,Kitchen,2024-05-14,2025-04-26,completed,2497921
PROJ01119,CUS000966,DES051,C042,Kitchen,2024-01-24,2025-10-19,Delayed,3082595
PROJ01120,CUS002338,DES123,C198,2BHK,2024-01-17,2025-05-20,completed,944112
PROJ01121,CUS004459,DES063,C145,3BHK,2024-12-22,2025-01-25,Completed,3646063
PROJ01122,CUS001534,DES050,C097,Office,2024-12-16,2025-05-26,Installation,1937957
PROJ01123,CUS004059,DES091,C194,Office,2024-08-02,2025-11-23,Delayed,1013747
PROJ01124,CUS002704,DES001,C065,Kitchen,2024-11-28,2025-06-12,Completed,4611278
PROJ01125,CUS001619,DES132,C021,Kitchen,2024-01-05,,Planning,3158099
PROJ01126,CUS003092,DES116,C148,Kitchen,2024-01-23,2025-02-07,Planning,1461521
PROJ01127,CUS003693,DES133,C177,Office,2024-08-04,2025-12-27,Delayed,4806484
PROJ01128,CUS003600,DES133,C041,Office,2024-09-23,,Design Phase,3662689
PROJ01129,CUS003396,DES105,C079,Kitchen,2024-05-21,2025-07-18,Completed,2866520
PROJ01130,CUS004360,DES020,C157,2BHK,2024-11-16,2025-06-18,Installation,1819756
PROJ01131,CUS003939,DES105,C053,3BHK,2024-01-04,2025-02-09,Completed,1437981
PROJ01132,CUS000061,DES046,C009,3BHK,2024-03-20,2025-08-26,Completed,3211288
PROJ01133,CUS002231,DES127,C004,Office,2024-08-18,2025-02-23,Completed,2068611
PROJ01134,CUS001685,DES103,C113,Kitchen,2024-10-17,2025-03-18,Design Phase,3011937
PROJ01135,CUS000388,DES105,C026,3BHK,2024-10-19,2025-06-26,Planning,2530660
PROJ01136,CUS000273,DES123,C083,Office,2024-10-05,2025-12-04,completed,4015217
PROJ01137,CUS001111,DES095,C111,Office,2024-05-08,2025-04-11,Delayed,1639154
PROJ01138,CUS000942,DES095,C224,Villa,2024-10-28,2025-09-12,Design Phase,1160737
PROJ01139,CUS002902,DES053,C039,2BHK,2024-12-09,2025-05-16,Completed,305771
PROJ01140,CUS001573,DES083,C039,2BHK,10/03/2024,2025-04-02,Delayed,716380
PROJ01141,CUS003405,DES046,C062,2BHK,2024-09-23,2025-03-11,Design Phase,2677662
PROJ01142,CUS002625,DES016,C040,Kitchen,2024-08-02,2025-07-04,Planning,2704694
PROJ01143,CUS003865,DES019,C045,Office,2024-10-05,2025-07-15,Installation,4584509
PROJ01144,CUS001281,DES041,C023,2BHK,2024-07-11,2025-06-20,Delayed,1288958
PROJ01145,CUS003562,DES058,C034,3BHK,2024-07-23,2025-08-12,Completed,3534063
PROJ01146,CUS002366,DES063,C241,2BHK,2024-03-03,,Planning,1721189
PROJ01147,CUS003515,DES142,C136,3BHK,2024-06-28,,Planning,4674640
PROJ01148,CUS003090,DES044,C054,3BHK,2024-04-05,2025-07-07,Delayed,2567380
PROJ01149,CUS003558,DES023,C155,Office,2024-12-01,2025-03-18,completed,1345577
PROJ01150,CUS000524,DES023,C088,2BHK,2024-06-15,2025-10-05,Design Phase,3469896
PROJ01151,CUS004985,DES078,C028,3BHK,2024-04-14,2025-06-21,Installation,1859447
PROJ01152,CUS004627,DES113,C037,Kitchen,2024-08-20,2025-11-13,Installation,4697050
PROJ01153,CUS000575,DES108,C245,2BHK,2024-04-20,,Planning,1644236
PROJ01154,CUS003448,DES127,C196,Office,2024-10-23,2025-03-10,Installation,2665877
PROJ01155,CUS002808,DES054,C222,3BHK,2024-07-21,,Planning,1205444
PROJ01156,CUS000377,DES042,C060,Office,2024-10-11,2025-08-11,Design Phase,1871474
PROJ01157,CUS003487,DES134,C215,Office,2024-03-12,,Delayed,4205431
PROJ01158,CUS001636,DES134,C080,2BHK,2024-01-16,2025-12-05,Delayed,4411547
PROJ01159,CUS002403,DES115,C050,2BHK,2024-10-06,2025-09-21,Installation,316814
PROJ01160,CUS002093,DES142,C073,Kitchen,2024-08-27,2025-03-11,Planning,295655
PROJ01161,CUS004174,DES138,C169,Kitchen,2024-06-05,2025-09-05,Design Phase,4738299
PROJ01162,CUS004665,DES118,C223,Villa,2024-01-28,2025-10-03,Planning,4213393
PROJ01163,CUS004560,DES070,C136,Villa,2024-03-08,2025-12-06,completed,2803061
PROJ01164,CUS002254,DES013,C157,Villa,2024-02-12,2025-03-22,completed,3207358
PROJ01165,CUS004977,DES090,C001,2BHK,2024-02-25,,Installation,4385458
PROJ01166,CUS003725,DES053,C149,3BHK,2024-01-05,2025-01-18,Design Phase,621100
PROJ01167,CUS003589,DES058,C169,3BHK,2024-09-11,,Installation,2004075
PROJ01168,CUS000942,DES028,C184,Office,2024-08-21,2025-03-19,Design Phase,1412740
PROJ01169,CUS002396,DES107,C041,2BHK,2024-04-11,2025-12-22,completed,3601843
PROJ01170,CUS003334,DES070,C222,Office,04/04/2024,2025-07-09,Delayed,3436695
PROJ01171,CUS004490,DES005,C216,Kitchen,2024-01-02,2025-07-05,completed,463315
PROJ01172,CUS002438,DES042,C207,3BHK,2024-09-01,2025-08-15,Completed,1544765
PROJ01173,CUS001242,DES007,C159,2BHK,2024-06-06,2025-12-04,Design Phase,4484253
PROJ01174,CUS001269,DES037,C203,2BHK,2024-12-07,2025-06-13,Design Phase,2019062
PROJ01175,CUS002702,DES125,C042,2BHK,2024-07-06,2025-08-13,completed,3507448
PROJ01176,CUS002937,DES072,C025,Office,2024-12-14,2025-09-19,Planning,3213489
PROJ01177,CUS003483,DES044,C210,Office,2024-05-06,2025-12-21,Planning,2108414
PROJ01178,CUS001112,DES062,C175,2BHK,2024-12-23,2025-06-07,completed,3883020
PROJ01179,CUS001467,DES113,C250,2BHK,2024-02-15,2025-02-12,Delayed,2890595
PROJ01180,CUS004938,DES140,C166,Office,2024-01-06,2025-09-07,Delayed,2447754
PROJ01181,CUS001701,DES011,C234,Villa,2024-10-23,2025-01-09,Installation,2418845
PROJ01182,CUS004171,DES022,C132,Kitchen,2024-09-03,2025-09-02,Design Phase,893517
PROJ01183,CUS001749,DES093,C209,Office,2024-06-03,2025-05-03,Design Phase,3108862
PROJ01184,CUS004608,DES071,C199,Villa,2024-10-21,2025-12-02,completed,3764006
PROJ01185,CUS004797,DES120,C009,2BHK,2024-10-25,2025-12-09,Planning,2831219
PROJ01186,CUS001073,DES015,C071,3BHK,2024-09-18,2025-08-18,Planning,453759
PROJ01187,CUS001160,DES039,C039,Kitchen,2024-09-26,2025-11-16,Planning,2029015
PROJ01188,CUS004644,DES133,C178,Office,2024-07-03,,Planning,3975784
PROJ01189,CUS003011,DES147,C118,Kitchen,2024-10-22,2025-05-16,Planning,3049683
PROJ01190,CUS004267,DES132,C165,2BHK,2024-06-17,2025-05-18,Completed,4566874
PROJ01191,CUS004767,DES043,C006,2BHK,2024-05-03,2025-08-12,Planning,3070413
PROJ01192,CUS001942,DES108,C145,Office,2024-02-23,2025-05-23,Planning,3178974
PROJ01193,CUS002679,DES008,C084,Villa,2024-08-01,2025-04-26,completed,1216085
PROJ01194,CUS002837,DES113,C222,2BHK,2024-08-17,2025-10-18,Installation,3854412
PROJ01195,CUS002180,DES047,C103,2BHK,2024-03-10,2025-10-26,Completed,3943403
PROJ01196,CUS002595,DES074,C094,3BHK,2024-04-05,,completed,4232122
PROJ01197,CUS002558,DES008,C040,Office,2024-11-10,2025-04-06,Delayed,3838500
PROJ01198,CUS003344,DES004,C193,Kitchen,2024-10-16,2025-12-26,Delayed,3248632
PROJ01199,CUS004403,DES052,C181,Office,2024-02-14,2025-02-02,Planning,2210671
PROJ01200,CUS004401,DES031,C159,Villa,08/05/2024,2025-02-07,Installation,516764
PROJ01201,CUS001808,DES057,C131,Villa,2024-12-03,2025-07-10,Planning,256535
PROJ01202,CUS001864,DES115,C162,Office,2024-06-05,2025-07-03,completed,3012463
PROJ01203,CUS000195,DES024,C205,3BHK,2024-10-01,,Delayed,3765056
PROJ01204,CUS003803,DES006,C212,Office,2024-04-10,2025-08-07,Design Phase,3731900
PROJ01205,CUS000695,DES086,C170,2BHK,2024-01-04,2025-12-06,Delayed,304458
PROJ01206,CUS004306,DES111,C023,3BHK,2024-04-06,2025-01-14,completed,531631
PROJ01207,CUS003060,DES135,C213,3BHK,2024-03-01,2025-11-16,Completed,4568278
PROJ01208,CUS000671,DES072,C162,Office,2024-11-28,2025-04-24,Completed,399557
PROJ01209,CUS001188,DES139,C235,Kitchen,2024-07-19,2025-09-06,Installation,4375359
PROJ01210,CUS001924,DES150,C109,2BHK,2024-03-25,2025-10-25,Planning,1407617
PROJ01211,CUS002808,DES045,C079,2BHK,2024-09-06,2025-03-11,Planning,1780190
PROJ01212,CUS002437,DES134,C092,2BHK,2024-12-09,2025-02-11,Planning,3648639
PROJ01213,CUS000124,DES042,C017,Office,2024-10-23,2025-08-23,completed,1363759
PROJ01214,CUS002499,DES022,C166,Office,2024-10-17,2025-06-03,completed,4596115
PROJ01215,CUS000629,DES064,C156,Office,2024-11-22,2025-07-23,completed,1831676
PROJ01216,CUS002196,DES068,C211,3BHK,2024-01-06,2025-05-10,Design Phase,3002453
PROJ01217,CUS000323,DES046,C159,2BHK,2024-10-11,2025-09-15,Completed,3541909
PROJ01218,CUS002683,DES098,C175,3BHK,2024-08-12,,Completed,4020331
PROJ01219,CUS004676,DES013,C248,Villa,2024-10-09,2025-02-04,Installation,3330636
PROJ01220,CUS000755,DES091,C042,2BHK,2024-01-20,2025-10-20,Completed,2727175
PROJ01221,CUS001430,DES057,C194,Kitchen,2024-11-13,,completed,1876985
PROJ01222,CUS003461,DES097,C090,3BHK,2024-05-11,2025-10-16,Delayed,2448883
PROJ01223,CUS003028,DES133,C027,Kitchen,2024-07-24,2025-07-20,Design Phase,2479341
PROJ01224,CUS000035,DES033,C047,3BHK,2024-06-26,2025-04-18,Installation,2504475
PROJ01225,CUS002453,DES126,C015,2BHK,2024-06-01,,Planning,4962529
PROJ01226,CUS004507,DES040,C123,2BHK,2024-06-18,,completed,959299
PROJ01227,CUS001526,DES064,C070,Kitchen,2024-05-18,2025-05-28,Installation,3063917
PROJ01228,CUS000853,DES105,C201,3BHK,2024-03-03,2025-01-17,Completed,4825034
PROJ01229,CUS001797,DES011,C149,Villa,2024-05-22,2025-01-22,Installation,4258492
PROJ01230,CUS004042,DES123,C052,Office,08/10/2024,2025-09-20,Planning,4762914
PROJ01231,CUS000971,DES107,C102,Office,2024-09-01,2025-04-23,Planning,4468324
PROJ01232,CUS001894,DES115,C079,Office,2024-05-21,2025-10-16,Planning,4961926
PROJ01233,CUS000149,DES130,C120,Kitchen,2024-06-20,2025-06-17,Completed,4506183
PROJ01234,CUS004586,DES115,C153,3BHK,2024-06-03,2025-05-27,Planning,2479454
PROJ01235,CUS001937,DES041,C181,Villa,2024-12-03,2025-04-24,Installation,963199
PROJ01236,CUS004741,DES093,C210,2BHK,2024-06-20,,Delayed,2779426
PROJ01237,CUS004646,DES044,C005,Office,2024-07-19,,Delayed,2345072
PROJ01238,CUS002602,DES093,C158,Kitchen,2024-06-05,,completed,2700958
PROJ01239,CUS002387,DES038,C079,3BHK,2024-11-23,2025-08-09,Installation,4256737
PROJ01240,CUS000611,DES078,C244,3BHK,2024-10-17,2025-03-17,Planning,2791889
PROJ01241,CUS004905,DES095,C219,2BHK,2024-01-14,2025-07-01,Planning,1327969
PROJ01242,CUS004285,DES015,C116,Office,2024-02-14,2025-03-09,Installation,3314455
PROJ01243,CUS002792,DES063,C003,Office,2024-07-07,2025-08-03,Design Phase,2335735
PROJ01244,CUS001282,DES060,C201,Office,2024-09-18,2025-09-23,Installation,2516570
PROJ01245,CUS003601,DES045,C139,Office,2024-11-21,,Installation,1539319
PROJ01246,CUS002523,DES136,C055,2BHK,2024-09-06,2025-01-22,Delayed,4290783
PROJ01247,CUS004923,DES021,C158,3BHK,2024-03-16,2025-03-26,Installation,1028977
PROJ01248,CUS001844,DES104,C008,Office,2024-03-24,2025-08-03,Planning,3090939
PROJ01249,CUS000426,DES126,C171,Kitchen,2024-03-23,2025-04-01,Delayed,3204922
PROJ01250,CUS003013,DES053,C050,Kitchen,2024-12-04,2025-04-13,Delayed,2009945
PROJ01251,CUS004505,DES024,C238,2BHK,2024-03-05,,Planning,2812319
PROJ01252,CUS000932,DES018,C098,Villa,2024-09-06,2025-03-18,Installation,1483641
PROJ01253,CUS004161,DES150,C168,Kitchen,2024-04-03,,completed,1471389
PROJ01254,CUS004185,DES050,C018,Kitchen,2024-05-02,2025-07-26,Design Phase,2339730
PROJ01255,CUS003652,DES019,C086,Office,2024-01-20,2025-01-14,completed,2130497
PROJ01256,CUS000834,DES001,C053,3BHK,2024-04-06,2025-11-14,Delayed,1491948
PROJ01257,CUS001073,DES061,C001,3BHK,2024-01-16,2025-03-05,completed,4094045
PROJ01258,CUS003790,DES049,C118,2BHK,2024-01-03,2025-04-04,completed,4573531
PROJ01259,CUS002242,DES094,C186,3BHK,2024-08-27,2025-02-12,completed,1092654
PROJ01260,CUS001874,DES120,C116,Villa,03/12/2024,2025-01-14,completed,2626277
PROJ01261,CUS002559,DES079,C192,Villa,2024-04-13,2025-02-21,Design Phase,2198097
PROJ01262,CUS002278,DES135,C135,2BHK,2024-10-10,,Design Phase,3251207
PROJ01263,CUS000587,DES078,C192,Office,2024-11-08,2025-05-05,Design Phase,786836
PROJ01264,CUS000987,DES015,C055,3BHK,2024-06-15,2025-08-06,Planning,3933412
PROJ01265,CUS003902,DES134,C225,3BHK,2024-06-17,2025-09-04,Delayed,4152732
PROJ01266,CUS004113,DES012,C187,Villa,2024-01-14,2025-03-22,Completed,4257337
PROJ01267,CUS000567,DES132,C140,Villa,2024-08-19,,Completed,4059527
PROJ01268,CUS004668,DES083,C060,2BHK,2024-09-20,2025-12-19,Completed,1892675
PROJ01269,CUS000331,DES024,C216,Villa,2024-03-15,2025-07-23,completed,391076
PROJ01270,CUS001963,DES033,C199,3BHK,2024-09-03,2025-10-10,Installation,1375478
PROJ01271,CUS003325,DES135,C195,3BHK,2024-10-03,2025-09-01,Planning,2362613
PROJ01272,CUS001529,DES058,C065,Villa,2024-08-05,2025-07-02,Design Phase,1246511
PROJ01273,CUS004905,DES071,C072,2BHK,2024-02-20,2025-10-14,Installation,4040535
PROJ01274,CUS000124,DES059,C004,Kitchen,2024-07-16,2025-12-02,completed,1391802
PROJ01275,CUS003764,DES009,C119,3BHK,2024-04-06,2025-02-17,Design Phase,2752910
PROJ01276,CUS002254,DES008,C089,2BHK,2024-03-11,2025-08-02,Installation,3365110
PROJ01277,CUS004337,DES067,C215,2BHK,2024-10-06,2025-02-17,Installation,2398267
PROJ01278,CUS002961,DES091,C064,Villa,2024-04-05,,Design Phase,1859315
PROJ01279,CUS002016,DES059,C098,Office,2024-04-21,2025-06-25,Installation,1078635
PROJ01280,CUS001926,DES118,C198,3BHK,2024-08-01,2025-04-23,Planning,3712796
PROJ01281,CUS003207,DES144,C187,Kitchen,2024-01-13,2025-05-16,Design Phase,3086658
PROJ01282,CUS001600,DES135,C010,2BHK,2024-08-05,2025-02-19,Installation,2512032
PROJ01283,CUS004355,DES142,C011,2BHK,2024-10-01,2025-06-20,completed,1836788
PROJ01284,CUS003875,DES043,C086,Kitchen,2024-12-18,2025-07-06,Completed,2041365
PROJ01285,CUS001759,DES058,C239,Office,2024-11-01,2025-02-16,Delayed,705016
PROJ01286,CUS003854,DES018,C207,Office,2024-07-20,2025-03-07,Planning,3783769
PROJ01287,CUS002476,DES060,C063,3BHK,2024-05-17,2025-05-05,Planning,4544939
PROJ01288,CUS004865,DES029,C086,2BHK,2024-04-13,,Delayed,1175231
PROJ01289,CUS002793,DES108,C161,Office,2024-09-14,2025-07-06,Design Phase,4283345
PROJ01290,CUS004480,DES106,C247,Office,02/01/2024,2025-06-11,Planning,2745113
PROJ01291,CUS000849,DES099,C248,3BHK,2024-02-15,2025-07-03,Delayed,1156147
PROJ01292,CUS003243,DES144,C086,Kitchen,2024-08-03,,Planning,3252052
PROJ01293,CUS001260,DES048,C140,Kitchen,2024-07-09,,Design Phase,2196476
PROJ01294,CUS000643,DES043,C023,2BHK,2024-04-07,,Delayed,3517567
PROJ01295,CUS001495,DES001,C241,3BHK,2024-03-06,2025-04-27,Delayed,3562862
PROJ01296,CUS000255,DES147,C233,2BHK,2024-01-06,2025-04-12,Planning,635865
PROJ01297,CUS000782,DES032,C173,Villa,2024-05-06,2025-05-05,completed,1826452
PROJ01298,CUS003503,DES082,C024,3BHK,2024-02-06,,Completed,328047
PROJ01299,CUS003836,DES058,C054,Villa,2024-09-19,,Completed,765183
PROJ01300,CUS002137,DES058,C109,3BHK,2024-08-16,2025-10-27,Planning,533900
PROJ01301,CUS000747,DES043,C200,Villa,2024-04-17,,completed,3928335
PROJ01302,CUS001809,DES027,C081,Kitchen,2024-12-13,2025-05-01,Design Phase,3875446
PROJ01303,CUS000391,DES094,C071,Kitchen,2024-07-14,2025-09-19,Design Phase,883584
PROJ01304,CUS000703,DES078,C238,Villa,2024-01-10,,Completed,4718453
PROJ01305,CUS003280,DES135,C178,3BHK,2024-04-10,2025-03-07,Design Phase,4266420
PROJ01306,CUS004841,DES014,C222,2BHK,2024-06-17,2025-05-10,Planning,3523008
PROJ01307,CUS002878,DES066,C128,Villa,2024-05-07,,Delayed,2545866
PROJ01308,CUS000254,DES018,C049,Villa,2024-08-25,2025-07-18,Planning,1741648
PROJ01309,CUS002538,DES123,C071,3BHK,2024-07-19,,Design Phase,650044
PROJ01310,CUS002017,DES068,C236,3BHK,2024-03-23,2025-04-08,Design Phase,2000594
PROJ01311,CUS000007,DES102,C032,2BHK,2024-09-05,2025-05-01,Completed,897870
PROJ01312,CUS002321,DES140,C118,Kitchen,2024-11-20,2025-11-03,completed,1064759
PROJ01313,CUS001758,DES094,C177,Office,2024-10-08,2025-09-04,Installation,647172
PROJ01314,CUS001070,DES100,C076,3BHK,2024-08-20,2025-05-04,Delayed,526586
PROJ01315,CUS001086,DES148,C082,2BHK,2024-04-09,2025-02-22,Completed,4332863
PROJ01316,CUS001988,DES111,C106,Kitchen,2024-07-28,2025-05-05,Delayed,3103479
PROJ01317,CUS003053,DES024,C235,Villa,2024-06-06,2025-08-23,Planning,3235086
PROJ01318,CUS004037,DES149,C194,Office,2024-05-18,2025-02-27,completed,3806080
PROJ01319,CUS003648,DES063,C164,3BHK,2024-02-12,2025-03-06,Design Phase,1758039
PROJ01320,CUS004310,DES144,C235,Kitchen,17/07/2024,,Completed,3060539
PROJ01321,CUS002476,DES087,C193,Kitchen,2024-11-15,2025-08-22,Completed,4205408
PROJ01322,CUS001385,DES124,C058,2BHK,2024-04-01,2025-03-23,Delayed,3568839
PROJ01323,CUS000570,DES142,C081,2BHK,2024-09-27,2025-07-06,Design Phase,2574456
